"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UGA_CEID-Walk",2025-01-18,0.889424205311811,299.132806473662,1.04835939066173,416.569288461538,0.274038461538462,0.605769230769231,208
"UGA_CEID-Walk",2025-02-01,0.994202820662656,278.806714113712,1.1339702971128,382.816307692308,0.274038461538462,0.567307692307692,208
"UGA_CEID-Walk",2025-02-08,0.93085304323168,218.572415321906,1.09788999945147,321.281850961538,0.331730769230769,0.692307692307692,208
"UGA_CEID-Walk",2025-02-15,0.764548142744867,192.83635312709,0.968252732260873,306.445538461538,0.298076923076923,0.836538461538462,208
"UGA_CEID-Walk",2025-02-22,0.792618109601293,171.510370292642,0.973221788902942,274.413418269231,0.389423076923077,0.903846153846154,208
"UGA_CEID-Walk",2025-03-01,0.821836790059647,162.600081824833,0.993748222785337,259.714177884615,0.408653846153846,0.903846153846154,208
"UGA_CEID-Walk",2025-03-08,0.841365684259808,139.226522058946,0.978289621290302,224.720177884615,0.528846153846154,0.951923076923077,208
"UGA_CEID-Walk",2025-03-15,0.896015091579088,113.99904416597,1.00228579708154,185.7521875,0.581730769230769,0.975961538461538,208
"UGA_CEID-Walk",2025-03-22,0.903784499190875,91.6179041429766,0.982155046504631,155.073192307692,0.572115384615385,0.951923076923077,208
"UGA_CEID-Walk",2025-03-29,0.992676646240991,73.411813340301,1.00892464999293,120.178899038462,0.615384615384615,0.966346153846154,208
"UGA_CEID-Walk",2025-04-05,1.04364534539529,53.7123776128763,0.999426597888657,84.1998173076923,0.663461538461538,0.980769230769231,208
"UGA_CEID-Walk",2025-04-12,1.1463608645863,37.460790104515,1.00358226201302,51.6497548076923,0.802884615384615,0.995192307692308,208
"UGA_CEID-Walk",2025-04-19,1.2143598783779,26.5486466555184,1.16193368112142,33.5491009615385,0.927884615384615,1,208
"UGA_CEID-Walk",2025-04-26,1.02588315725457,20.1361617182274,1.00545728253559,24.2721057692308,0.879807692307692,1,208
"UGA_CEID-Walk",2025-05-03,0.89879896077379,14.7472692161371,1.07140244295356,16.7332836538462,0.875,0.990384615384615,208
"UGA_CEID-Walk",2025-05-10,0.70416189354165,11.2313246258361,1.03332773809524,14.6515336538462,0.841346153846154,1,208
"UGA_CEID-Walk",2025-05-17,0.583213879093344,8.16776065426421,1.0146315909629,10.7009182692308,0.798076923076923,0.980769230769231,208
"UGA_CEID-Walk",2025-05-24,0.534184672971942,6.99389439799331,1.06461014796056,9.5104375,0.764423076923077,0.990384615384615,208
"UGA_CEID-Walk",2025-05-31,0.553349752820721,7.63289525292642,1.0624874572037,11.0519375,0.673076923076923,0.951923076923077,208
"UGA_flucast-Copycat",2024-12-07,0.780375781432176,133.619023829431,0.865625538163073,185.153846153846,0.163461538461538,0.509615384615385,208
"UGA_flucast-Copycat",2024-12-14,0.79857057415401,231.493697742475,0.915379573671122,309.629807692308,0.0432692307692308,0.360576923076923,208
"UGA_flucast-Copycat",2024-12-21,0.735271511912724,250.599306020067,0.92366999051988,362.144230769231,0.0673076923076923,0.451923076923077,208
"UGA_flucast-Copycat",2025-01-04,0.723571095887494,161.737046404682,0.887923250384643,241.774038461538,0.403846153846154,0.807692307692308,208
"UGA_flucast-Copycat",2025-01-11,0.822945002641835,175.95147993311,1.07861582754693,286.504807692308,0.399038461538462,0.913461538461538,208
"UGA_flucast-Copycat",2025-01-18,1.02961282996569,343.528160535117,1.28830599547879,507.538461538462,0.182692307692308,0.610576923076923,208
"UGA_flucast-Copycat",2025-02-01,1.02406234975316,292.067436061381,1.19854653732763,412.25,0.127450980392157,0.480392156862745,204
"UGA_flucast-Copycat",2025-02-08,0.693985311513353,165.420592497869,0.887970455297929,263.504901960784,0.401960784313726,0.882352941176471,204
"UGA_flucast-Copycat",2025-02-15,0.519029662559069,131.543290133779,0.620853814763045,197.163461538462,0.447115384615385,0.913461538461538,208
"UGA_flucast-Copycat",2025-02-22,0.433937034002601,93.7192077759197,0.51108332306621,144.274038461538,0.485576923076923,0.956730769230769,208
"UGA_flucast-Copycat",2025-03-01,0.438237023501007,87.1465656354515,0.52979784412435,139.033653846154,0.365384615384615,0.932692307692308,208
"UGA_flucast-Copycat",2025-03-08,0.385558224211623,64.7533403010033,0.424610133704737,100.014423076923,0.543269230769231,0.961538461538462,208
"UGA_flucast-Copycat",2025-03-15,0.406293462207102,52.2001400501672,0.435606065340246,82.0528846153846,0.389423076923077,0.932692307692308,208
"UGA_flucast-Copycat",2025-03-22,0.415954155620359,42.5798244147157,0.419782927631498,67.1778846153846,0.447115384615385,0.927884615384615,208
"UGA_flucast-Copycat",2025-03-29,0.438221674770971,31.4797676896846,0.437251059968731,50.4264705882353,0.411764705882353,0.897058823529412,204
"UGA_flucast-Copycat",2025-04-05,0.429707651959838,22.1338273411371,0.431861536505465,36.2115384615385,0.370192307692308,0.9375,208
"UGA_flucast-Copycat",2025-04-12,0.422994814865733,13.646264632107,0.435384604890172,21.9711538461538,0.466346153846154,0.942307692307692,208
"UGA_flucast-Copycat",2025-04-19,0.538919929091434,11.6569607023411,0.633535758303496,18.0769230769231,0.576923076923077,0.927884615384615,208
"UGA_flucast-Copycat",2025-04-26,0.555425830122344,10.9027571070234,0.686579375644098,16.6682692307692,0.490384615384615,0.913461538461538,208
"UGA_flucast-Copycat",2025-05-03,0.476591506799909,7.79428929765886,0.769781447370267,11.9951923076923,0.557692307692308,0.923076923076923,208
"UGA_flucast-Copycat",2025-05-10,0.481984533792491,8.01932274247492,0.828898634106849,12.1057692307692,0.471153846153846,0.9375,208
"UGA_flucast-Copycat",2025-05-17,0.491195800575384,6.75879598662207,1.03760713136296,10.7019230769231,0.475961538461538,0.865384615384615,208
"UGA_flucast-Copycat",2025-05-24,0.516005650524386,6.64866429765886,1.19086358750669,10.5721153846154,0.447115384615385,0.879807692307692,208
"UGA_flucast-Copycat",2025-05-31,0.532589561963038,7.3854974916388,1.08071587892566,11.3798076923077,0.432692307692308,0.846153846153846,208
"UGA_flucast-INFLAenza",2024-11-30,0.664278572788578,63.2434406354515,0.719598475283316,93.9278846153846,0.379807692307692,0.850961538461538,208
"UGA_flucast-INFLAenza",2024-12-07,0.762681771709212,130.868409280936,0.837483348185332,180.014423076923,0.182692307692308,0.610576923076923,208
"UGA_flucast-INFLAenza",2024-12-14,0.748788109835758,217.402560618729,0.861661010335262,292.274038461538,0.105769230769231,0.495192307692308,208
"UGA_flucast-INFLAenza",2024-12-21,0.756764180558914,256.49747909699,0.907972246745169,354.629807692308,0.0625,0.480769230769231,208
"UGA_flucast-INFLAenza",2024-12-28,0.891150368054175,311.249086538462,1.04478861158242,416.461538461538,0.0192307692307692,0.288461538461538,208
"UGA_flucast-INFLAenza",2025-01-04,1.1555277116061,254.515718446906,1.37412420121206,368.646634615385,0.120192307692308,0.658653846153846,208
