"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CMU-TimeSeries",3,0.451003342336399,9.21688517307726,1.15979672153713,15.47115836995,0.45,0.95,260
"CMU-climate_baseline",0,1.84242302315895,15.9811631493868,2.57854920757542,25.2173076923077,0.673076923076923,0.992307692307692,260
"CMU-climate_baseline",1,1.11167147151945,14.8846314046823,1.89437106232995,22.7182692307692,0.676923076923077,0.996153846153846,260
"CMU-climate_baseline",2,0.830173524688031,14.157343567447,1.67341048729905,21.2346153846154,0.665384615384615,0.992307692307692,260
"CMU-climate_baseline",3,0.661522227888426,13.4832292084727,1.5015305459106,20.0711538461538,0.684615384615385,0.996153846153846,260
"CU-ensemble",0,0.901205055334955,7.7532525083612,1.09179234272692,10.875,0.740384615384615,0.985576923076923,208
"CU-ensemble",1,0.64124919157028,8.44888168896321,0.953489188619722,11.5048076923077,0.774038461538462,0.995192307692308,208
"CU-ensemble",2,0.524043288446367,8.85403846153846,0.878305629025438,11.3269230769231,0.846153846153846,0.990384615384615,208
"CU-ensemble",3,0.48112505956766,9.21615175585284,0.871944285737738,11.2019230769231,0.817307692307692,0.995192307692308,208
"FluSight-baseline",0,1,8.65378595317726,1,9.88076923076923,0.726923076923077,1,260
"FluSight-baseline",1,1,13.1426571906355,1,11.95,0.915384615384615,1,260
"FluSight-baseline",2,1,16.7163444816054,1,12.6269230769231,0.969230769230769,1,260
"FluSight-baseline",3,1,20.0154682274247,1,13.4423076923077,0.969230769230769,1,260
"FluSight-ensemble",0,0.738544863076147,6.47119732441472,1.02136967488875,10.1,0.688461538461538,0.984615384615385,260
"FluSight-ensemble",1,0.538025945453297,7.21220568561873,0.8910497650454,10.7423076923077,0.730769230769231,0.992307692307692,260
"FluSight-ensemble",2,0.446617941599456,7.60628428093646,0.932696748959809,11.9038461538462,0.75,0.996153846153846,260
"FluSight-ensemble",3,0.387611897942117,7.92266555183947,0.896733771065076,12.0346153846154,0.796153846153846,0.992307692307692,260
"FluSight-lop_norm",0,0.782993664479411,6.83451505016722,0.985257932393801,9.73846153846154,0.776923076923077,0.996153846153846,260
"FluSight-lop_norm",1,0.577508267840548,7.71971237458194,0.876248824611006,10.6038461538462,0.815384615384615,1,260
"FluSight-lop_norm",2,0.47476603704017,8.06426421404682,0.904487105620797,11.5230769230769,0.807692307692308,1,260
"FluSight-lop_norm",3,0.425801989875878,8.67167224080267,0.900825234295631,12.1,0.857692307692308,1,260
"FluSight-trained_mean",0,0.816278924911631,7.1412430188614,1.06044244850341,10.453484147393,0.565384615384615,0.942307692307692,260
"FluSight-trained_mean",1,0.592727915175722,7.94114022741098,0.981376884034704,11.8200111473518,0.580769230769231,0.953846153846154,260
"FluSight-trained_mean",2,0.474836352425884,8.05020509008131,1.00333263716135,12.6750535409669,0.584615384615385,0.95,260
"FluSight-trained_mean",3,0.414867513547921,8.45606629067398,1.00906863129443,13.4249286434788,0.623076923076923,0.953846153846154,260
"FluSight-trained_med",0,0.822709655041081,7.18729969715827,1.08316136438813,10.7183820786449,0.646153846153846,0.973076923076923,260
"FluSight-trained_med",1,0.604271356913241,8.07317756122264,0.98800599280005,11.8867429204078,0.653846153846154,0.980769230769231,260
"FluSight-trained_med",2,0.479767941659689,8.13057860896644,0.973746545463638,12.3594196484664,0.680769230769231,0.988461538461539,260
"FluSight-trained_med",3,0.416977242130132,8.48557151812508,0.952421971034618,12.6582560605596,0.738461538461539,0.992307692307692,260
"Gatech-ensemble_point",0,1.20989957906717,10.4671655518395,1.53720349777535,15.1038461538462,0.630769230769231,0.992307692307692,260
"Gatech-ensemble_point",1,1.30784323931576,17.1865903010033,2.39731965280733,28.2846153846154,0.415384615384615,0.980769230769231,260
"Gatech-ensemble_point",2,0.646786135630893,10.9487474916388,1.40340115285673,17.6538461538462,0.634615384615385,0.976923076923077,260
"Gatech-ensemble_point",3,0.664603346148532,13.4818862876254,1.65527180213432,22.0538461538462,0.446153846153846,0.961538461538462,260
"Gatech-ensemble_prob",0,0.818101899044598,7.10528260869565,1.11976648049616,11,0.596153846153846,0.973076923076923,260
"Gatech-ensemble_prob",1,0.668009541551923,8.9291254180602,1.16311096809623,13.9461538461538,0.611538461538462,0.973076923076923,260
